-18.2396626411077, 0.0, 0.0, 0.0, 0.0
-15.937077548113656, 0.0, 0.0, 0.0, 0.0
-13.63449245511961, 0.006, 0.0, 0.0, 0.012
-11.331907362125563, 0.0, 0.16, 0.015, 0.038
-10.623419641204318, 0.253, 0.007, 0.0, 0.172
-9.914931920283074, 0.237, 0.226, 0.134, 0.012
-9.20644419936183, 0.336, 0.205, 0.413, 0.07
-8.497956478440583, 0.406, 0.324, 0.277, 0.186
-7.789468757519339, 0.47, 0.33, 0.56, 0.561
-7.080981036598094, 0.712, 0.789, 0.807, 0.546
-6.372493315676849, 1.021, 0.694, 0.788, 0.886
-5.664005594755604, 0.969, 1.035, 0.844, 0.882
-4.95551787383436, 0.936, 1.061, 0.968, 0.851
-4.247030152913115, 0.969, 1.04, 0.94, 0.857
-3.5385424319918695, 1.076, 1.107, 0.986, 1.074
-2.8300547110706247, 0.998, 1.042, 0.976, 0.978
-2.1215669901493808, 1.212, 1.0, 0.995, 1.018
0.18101810284466513, 0.96, 0.992, 0.999, 0.996
2.48360319583871, 0.94, 1.093, 0.976, 1.184
4.786188288832757, 0.997, 0.994, 0.994, 1.077
