Moves,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6,repeat_7
0,0.0,,,,,,,
1,0.0,0.026614926246265984,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.05322985249253197,0.026614926246265984,0.0,0.026614926246265984,0.026614926246265984,0.0,0.026614926246265984
3,0.026614926246265984,0.07984477873879796,0.026614926246265984,0.0,0.026614926246265984,0.026614926246265984,0.0,0.026614926246265984
4,0.026614926246265984,0.10645970498506394,0.026614926246265984,0.0,0.05322985249253197,0.026614926246265984,0.026614926246265984,0.05322985249253197
5,0.0,0.10645970498506394,0.026614926246265984,0.026614926246265984,0.07984477873879796,0.026614926246265984,0.026614926246265984,0.05322985249253197
6,0.0,0.13307463123132993,0.026614926246265984,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.026614926246265984,0.05322985249253197
7,0.0,0.13307463123132993,0.026614926246265984,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.026614926246265984,0.07984477873879796
8,0.026614926246265984,0.13307463123132993,0.026614926246265984,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.026614926246265984,0.07984477873879796
9,0.05322985249253197,0.10645970498506394,0.026614926246265984,0.07984477873879796,0.05322985249253197,0.07984477873879796,0.026614926246265984,0.07984477873879796
10,0.05322985249253197,0.10645970498506394,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.026614926246265984,0.07984477873879796
11,0.05322985249253197,0.10645970498506394,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.026614926246265984,0.07984477873879796
12,0.05322985249253197,0.10645970498506394,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.10645970498506394,0.026614926246265984,0.05322985249253197
13,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.05322985249253197,0.07984477873879796,0.10645970498506394,0.026614926246265984,0.05322985249253197
14,0.07984477873879796,0.10645970498506394,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.13307463123132993,0.026614926246265984,0.07984477873879796
15,0.10645970498506394,0.13307463123132993,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.15968955747759592,0.026614926246265984,0.07984477873879796
16,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.05322985249253197,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.10645970498506394
17,0.13307463123132993,0.07984477873879796,0.05322985249253197,0.05322985249253197,0.10645970498506394,0.18630448372386188,0.026614926246265984,0.10645970498506394
18,0.10645970498506394,0.07984477873879796,0.026614926246265984,0.026614926246265984,0.10645970498506394,0.18630448372386188,0.026614926246265984,0.10645970498506394
19,0.10645970498506394,0.07984477873879796,0.0,0.026614926246265984,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.10645970498506394
20,0.07984477873879796,0.07984477873879796,0.0,0.026614926246265984,0.05322985249253197,0.15968955747759592,0.026614926246265984,0.10645970498506394
21,0.07984477873879796,0.07984477873879796,0.026614926246265984,0.05322985249253197,0.05322985249253197,0.15968955747759592,0.05322985249253197,0.10645970498506394
22,0.07984477873879796,0.07984477873879796,0.026614926246265984,0.05322985249253197,0.05322985249253197,0.15968955747759592,0.026614926246265984,0.10645970498506394
23,0.05322985249253197,0.07984477873879796,0.026614926246265984,0.05322985249253197,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.07984477873879796
24,0.05322985249253197,0.10645970498506394,0.026614926246265984,0.05322985249253197,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.07984477873879796
25,0.05322985249253197,0.10645970498506394,0.026614926246265984,0.05322985249253197,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.07984477873879796
26,0.05322985249253197,0.13307463123132993,0.026614926246265984,0.026614926246265984,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.05322985249253197
27,0.05322985249253197,0.13307463123132993,0.026614926246265984,0.026614926246265984,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.026614926246265984
28,0.05322985249253197,0.13307463123132993,0.026614926246265984,0.026614926246265984,0.07984477873879796,0.18630448372386188,0.026614926246265984,0.0
29,0.05322985249253197,0.13307463123132993,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.18630448372386188,0.026614926246265984,0.0
30,0.05322985249253197,0.13307463123132993,0.07984477873879796,0.05322985249253197,0.05322985249253197,0.18630448372386188,0.026614926246265984,0.0
31,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.05322985249253197,0.07984477873879796,0.15968955747759592,0.026614926246265984,0.026614926246265984
