Moves,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6,repeat_7
0,0.9319827854218173,,,,,,,
1,0.908085790923822,0.9319827854218173,0.9319827854218173,0.908085790923822,0.9319827854218173,0.9319827854218173,0.9319827854218173,0.9319827854218173
2,0.8841887964258267,0.9319827854218173,0.9558797799198128,0.9319827854218173,0.908085790923822,0.9319827854218173,0.9558797799198128,0.9319827854218173
3,0.8841887964258267,0.908085790923822,0.9558797799198128,0.908085790923822,0.908085790923822,0.908085790923822,0.9319827854218173,0.9319827854218173
4,0.8602918019278315,0.908085790923822,0.9319827854218173,0.908085790923822,0.908085790923822,0.908085790923822,0.9319827854218173,0.9319827854218173
5,0.8602918019278315,0.8841887964258267,0.9319827854218173,0.908085790923822,0.9319827854218173,0.908085790923822,0.9558797799198128,0.9319827854218173
6,0.8363948074298362,0.8841887964258267,0.9319827854218173,0.9319827854218173,0.9319827854218173,0.908085790923822,0.9558797799198128,0.9319827854218173
7,0.8363948074298362,0.8841887964258267,0.9319827854218173,0.908085790923822,0.9319827854218173,0.908085790923822,0.9319827854218173,0.9319827854218173
8,0.8363948074298362,0.8841887964258267,0.908085790923822,0.908085790923822,0.908085790923822,0.908085790923822,0.9319827854218173,0.908085790923822
9,0.8363948074298362,0.8841887964258267,0.9319827854218173,0.908085790923822,0.908085790923822,0.908085790923822,0.9319827854218173,0.8841887964258267
10,0.8363948074298362,0.8602918019278315,0.9319827854218173,0.9319827854218173,0.908085790923822,0.908085790923822,0.9319827854218173,0.8602918019278315
11,0.8363948074298362,0.8602918019278315,0.9319827854218173,0.9558797799198128,0.908085790923822,0.8841887964258267,0.908085790923822,0.8602918019278315
12,0.8124978129318409,0.8602918019278315,0.9558797799198128,0.9558797799198128,0.908085790923822,0.8841887964258267,0.9319827854218173,0.8602918019278315
13,0.8124978129318409,0.8602918019278315,0.9558797799198128,0.9319827854218173,0.908085790923822,0.8841887964258267,0.9319827854218173,0.8841887964258267
14,0.8124978129318409,0.8363948074298362,0.9558797799198128,0.908085790923822,0.908085790923822,0.8841887964258267,0.908085790923822,0.8841887964258267
15,0.8363948074298362,0.8124978129318409,0.9558797799198128,0.9319827854218173,0.908085790923822,0.8841887964258267,0.908085790923822,0.8602918019278315
16,0.8602918019278315,0.8124978129318409,0.9558797799198128,0.9319827854218173,0.908085790923822,0.8841887964258267,0.908085790923822,0.8602918019278315
17,0.8363948074298362,0.8124978129318409,0.9558797799198128,0.908085790923822,0.908085790923822,0.8841887964258267,0.908085790923822,0.8841887964258267
