Moves,repeat_0,repeat_1,repeat_2,repeat_3
0,0.0,,,
1,0.026614926246265984,0.0,0.0,0.0
2,0.026614926246265984,0.026614926246265984,0.0,0.0
3,0.026614926246265984,0.05322985249253197,0.0,0.0
4,0.026614926246265984,0.05322985249253197,0.026614926246265984,0.026614926246265984
5,0.026614926246265984,0.026614926246265984,0.026614926246265984,0.0
6,0.026614926246265984,0.026614926246265984,0.026614926246265984,0.0
7,0.026614926246265984,0.026614926246265984,0.026614926246265984,0.0
8,0.026614926246265984,0.026614926246265984,0.026614926246265984,0.0
9,0.026614926246265984,0.05322985249253197,0.026614926246265984,0.026614926246265984
10,0.05322985249253197,0.05322985249253197,0.026614926246265984,0.0
11,0.05322985249253197,0.05322985249253197,0.05322985249253197,0.0
12,0.05322985249253197,0.07984477873879796,0.05322985249253197,0.0
13,0.05322985249253197,0.07984477873879796,0.05322985249253197,0.0
14,0.05322985249253197,0.07984477873879796,0.07984477873879796,0.0
15,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.026614926246265984
16,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.026614926246265984
17,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.026614926246265984
18,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.026614926246265984
19,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.05322985249253197
20,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.05322985249253197
21,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.07984477873879796
22,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.10645970498506394
23,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.10645970498506394
24,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.10645970498506394
25,0.07984477873879796,0.13307463123132993,0.05322985249253197,0.07984477873879796
26,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.07984477873879796
27,0.07984477873879796,0.15968955747759592,0.10645970498506394,0.10645970498506394
28,0.07984477873879796,0.15968955747759592,0.13307463123132993,0.10645970498506394
29,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.10645970498506394
30,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.13307463123132993
31,0.07984477873879796,0.15968955747759592,0.10645970498506394,0.13307463123132993
32,0.07984477873879796,0.15968955747759592,0.10645970498506394,0.13307463123132993
33,0.07984477873879796,0.15968955747759592,0.10645970498506394,0.13307463123132993
34,0.05322985249253197,0.13307463123132993,0.10645970498506394,0.13307463123132993
35,0.05322985249253197,0.15968955747759592,0.10645970498506394,0.13307463123132993
36,0.05322985249253197,0.15968955747759592,0.10645970498506394,0.13307463123132993
37,0.07984477873879796,0.13307463123132993,0.07984477873879796,0.13307463123132993
38,0.07984477873879796,0.13307463123132993,0.05322985249253197,0.13307463123132993
39,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.13307463123132993
40,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.13307463123132993
41,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.13307463123132993
42,0.10645970498506394,0.13307463123132993,0.05322985249253197,0.13307463123132993
43,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.10645970498506394
44,0.10645970498506394,0.13307463123132993,0.05322985249253197,0.10645970498506394
45,0.10645970498506394,0.13307463123132993,0.05322985249253197,0.10645970498506394
46,0.10645970498506394,0.10645970498506394,0.05322985249253197,0.10645970498506394
47,0.10645970498506394,0.13307463123132993,0.07984477873879796,0.10645970498506394
48,0.10645970498506394,0.15968955747759592,0.07984477873879796,0.10645970498506394
49,0.10645970498506394,0.15968955747759592,0.05322985249253197,0.10645970498506394
50,0.10645970498506394,0.15968955747759592,0.05322985249253197,0.10645970498506394
51,0.07984477873879796,0.15968955747759592,0.05322985249253197,0.13307463123132993
52,0.07984477873879796,0.15968955747759592,0.05322985249253197,0.13307463123132993
53,0.10645970498506394,0.18630448372386188,0.05322985249253197,0.10645970498506394
54,0.10645970498506394,0.18630448372386188,0.07984477873879796,0.10645970498506394
55,0.10645970498506394,0.18630448372386188,0.10645970498506394,0.07984477873879796
56,0.10645970498506394,0.18630448372386188,0.10645970498506394,0.05322985249253197
57,0.10645970498506394,0.21291940997012787,0.13307463123132993,0.05322985249253197
58,0.10645970498506394,0.23953433621639392,0.13307463123132993,0.05322985249253197
59,0.10645970498506394,0.23953433621639392,0.10645970498506394,0.05322985249253197
60,0.10645970498506394,0.23953433621639392,0.10645970498506394,0.05322985249253197
61,0.13307463123132993,0.21291940997012787,0.10645970498506394,0.05322985249253197
62,0.10645970498506394,0.21291940997012787,0.10645970498506394,0.05322985249253197
63,0.10645970498506394,0.21291940997012787,0.10645970498506394,0.05322985249253197
64,0.10645970498506394,0.21291940997012787,0.13307463123132993,0.07984477873879796
65,0.10645970498506394,0.21291940997012787,0.13307463123132993,0.07984477873879796
66,0.13307463123132993,0.18630448372386188,0.13307463123132993,0.07984477873879796
67,0.15968955747759592,0.18630448372386188,0.10645970498506394,0.10645970498506394
68,0.15968955747759592,0.18630448372386188,0.10645970498506394,0.10645970498506394
69,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
70,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
71,0.15968955747759592,0.15968955747759592,0.13307463123132993,0.10645970498506394
72,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
73,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
74,0.10645970498506394,0.13307463123132993,0.13307463123132993,0.07984477873879796
75,0.07984477873879796,0.13307463123132993,0.13307463123132993,0.07984477873879796
76,0.07984477873879796,0.13307463123132993,0.10645970498506394,0.07984477873879796
77,0.10645970498506394,0.13307463123132993,0.10645970498506394,0.07984477873879796
78,0.10645970498506394,0.13307463123132993,0.10645970498506394,0.05322985249253197
79,0.10645970498506394,0.15968955747759592,0.10645970498506394,0.05322985249253197
80,0.10645970498506394,0.15968955747759592,0.10645970498506394,0.05322985249253197
81,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.05322985249253197
82,0.10645970498506394,0.13307463123132993,0.13307463123132993,0.05322985249253197
83,0.10645970498506394,0.13307463123132993,0.13307463123132993,0.05322985249253197
84,0.13307463123132993,0.13307463123132993,0.13307463123132993,0.05322985249253197
85,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.026614926246265984
86,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.026614926246265984
87,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.026614926246265984
88,0.15968955747759592,0.10645970498506394,0.15968955747759592,0.026614926246265984
89,0.15968955747759592,0.13307463123132993,0.15968955747759592,0.026614926246265984
90,0.15968955747759592,0.13307463123132993,0.15968955747759592,0.026614926246265984
91,0.15968955747759592,0.10645970498506394,0.15968955747759592,0.026614926246265984
92,0.15968955747759592,0.10645970498506394,0.18630448372386188,0.026614926246265984
93,0.13307463123132993,0.07984477873879796,0.18630448372386188,0.05322985249253197
94,0.13307463123132993,0.07984477873879796,0.18630448372386188,0.05322985249253197
95,0.15968955747759592,0.07984477873879796,0.18630448372386188,0.05322985249253197
96,0.18630448372386188,0.07984477873879796,0.18630448372386188,0.07984477873879796
97,0.18630448372386188,0.07984477873879796,0.15968955747759592,0.10645970498506394
98,0.18630448372386188,0.10645970498506394,0.13307463123132993,0.10645970498506394
99,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.10645970498506394
100,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.10645970498506394
101,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.10645970498506394
102,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.10645970498506394
103,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.10645970498506394
104,0.13307463123132993,0.10645970498506394,0.10645970498506394,0.10645970498506394
105,0.13307463123132993,0.10645970498506394,0.10645970498506394,0.10645970498506394
106,0.13307463123132993,0.10645970498506394,0.10645970498506394,0.13307463123132993
107,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.13307463123132993
108,0.13307463123132993,0.10645970498506394,0.15968955747759592,0.13307463123132993
109,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.13307463123132993
110,0.15968955747759592,0.10645970498506394,0.13307463123132993,0.13307463123132993
111,0.15968955747759592,0.13307463123132993,0.13307463123132993,0.13307463123132993
112,0.15968955747759592,0.13307463123132993,0.13307463123132993,0.13307463123132993
113,0.15968955747759592,0.15968955747759592,0.13307463123132993,0.13307463123132993
114,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.13307463123132993
115,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.13307463123132993
116,0.07984477873879796,0.15968955747759592,0.13307463123132993,0.13307463123132993
117,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.13307463123132993
118,0.10645970498506394,0.13307463123132993,0.15968955747759592,0.10645970498506394
119,0.13307463123132993,0.13307463123132993,0.15968955747759592,0.07984477873879796
120,0.10645970498506394,0.13307463123132993,0.15968955747759592,0.07984477873879796
121,0.10645970498506394,0.10645970498506394,0.15968955747759592,0.07984477873879796
122,0.10645970498506394,0.10645970498506394,0.13307463123132993,0.07984477873879796
123,0.10645970498506394,0.10645970498506394,0.13307463123132993,0.10645970498506394
124,0.10645970498506394,0.13307463123132993,0.13307463123132993,0.13307463123132993
125,0.07984477873879796,0.10645970498506394,0.10645970498506394,0.13307463123132993
126,0.07984477873879796,0.10645970498506394,0.07984477873879796,0.10645970498506394
127,0.10645970498506394,0.10645970498506394,0.07984477873879796,0.10645970498506394
128,0.10645970498506394,0.10645970498506394,0.10645970498506394,0.10645970498506394
129,0.10645970498506394,0.10645970498506394,0.10645970498506394,0.13307463123132993
130,0.10645970498506394,0.13307463123132993,0.07984477873879796,0.15968955747759592
131,0.10645970498506394,0.13307463123132993,0.10645970498506394,0.15968955747759592
132,0.13307463123132993,0.13307463123132993,0.07984477873879796,0.15968955747759592
133,0.13307463123132993,0.13307463123132993,0.10645970498506394,0.15968955747759592
134,0.13307463123132993,0.15968955747759592,0.10645970498506394,0.13307463123132993
135,0.13307463123132993,0.15968955747759592,0.10645970498506394,0.13307463123132993
136,0.13307463123132993,0.15968955747759592,0.10645970498506394,0.13307463123132993
137,0.13307463123132993,0.15968955747759592,0.10645970498506394,0.13307463123132993
138,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
139,0.13307463123132993,0.15968955747759592,0.13307463123132993,0.10645970498506394
140,0.13307463123132993,0.15968955747759592,0.15968955747759592,0.13307463123132993
141,0.13307463123132993,0.15968955747759592,0.15968955747759592,0.13307463123132993
142,0.13307463123132993,0.15968955747759592,0.15968955747759592,0.15968955747759592
143,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.15968955747759592
144,0.10645970498506394,0.18630448372386188,0.13307463123132993,0.15968955747759592
145,0.10645970498506394,0.18630448372386188,0.13307463123132993,0.18630448372386188
146,0.10645970498506394,0.18630448372386188,0.13307463123132993,0.18630448372386188
147,0.10645970498506394,0.21291940997012787,0.15968955747759592,0.21291940997012787
148,0.13307463123132993,0.21291940997012787,0.15968955747759592,0.18630448372386188
149,0.10645970498506394,0.18630448372386188,0.15968955747759592,0.18630448372386188
150,0.07984477873879796,0.18630448372386188,0.15968955747759592,0.18630448372386188
151,0.10645970498506394,0.18630448372386188,0.15968955747759592,0.21291940997012787
152,0.10645970498506394,0.15968955747759592,0.13307463123132993,0.21291940997012787
153,0.13307463123132993,0.13307463123132993,0.13307463123132993,0.21291940997012787
154,0.13307463123132993,0.13307463123132993,0.13307463123132993,0.18630448372386188
155,0.13307463123132993,0.13307463123132993,0.13307463123132993,0.15968955747759592
156,0.13307463123132993,0.10645970498506394,0.13307463123132993,0.15968955747759592
157,0.13307463123132993,0.07984477873879796,0.13307463123132993,0.15968955747759592
