Mode,BinStart,BinEnd,Count
A1,-3.1229877292883375,-3.063866210473669,2.0
A1,-3.063866210473669,-3.0047446916590013,2.0
A1,-3.0047446916590013,-2.945623172844333,10.0
A1,-2.945623172844333,-2.8865016540296646,12.0
A1,-2.8865016540296646,-2.8273801352149968,21.0
A1,-2.8273801352149968,-2.7682586164003284,27.0
A1,-2.7682586164003284,-2.70913709758566,51.0
A1,-2.70913709758566,-2.6500155787709923,57.0
A1,-2.6500155787709923,-2.590894059956324,71.0
A1,-2.590894059956324,-2.531772541141656,64.0
A1,-2.531772541141656,-2.4726510223269877,62.0
A1,-2.4726510223269877,-2.4135295035123194,56.0
A1,-2.4135295035123194,-2.3544079846976516,50.0
A1,-2.3544079846976516,-2.2952864658829832,35.0
A1,-2.2952864658829832,-2.236164947068315,39.0
A1,-2.236164947068315,-2.177043428253647,25.0
A1,-2.177043428253647,-2.1179219094389787,15.0
A1,-2.1179219094389787,-2.0588003906243104,25.0
A1,-2.0588003906243104,-1.9996788718096423,6.0
A1,-1.9996788718096423,-1.9405573529949742,3.0
A1,-1.9405573529949742,-1.881435834180306,6.0
A1,-1.881435834180306,-1.8223143153656378,1.0
A1,-1.8223143153656378,-1.7631927965509697,1.0
A1,-1.7631927965509697,-1.7040712777363014,3.0
A1,-1.7040712777363014,-1.6449497589216333,3.0
B1,-1.4428539662830733,-1.3852185306581204,1.0
B1,-1.3852185306581204,-1.3275830950331675,0.0
B1,-1.3275830950331675,-1.2699476594082144,0.0
B1,-1.2699476594082144,-1.2123122237832615,0.0
B1,-1.2123122237832615,-1.1546767881583087,4.0
B1,-1.1546767881583087,-1.0970413525333558,1.0
B1,-1.0970413525333558,-1.039405916908403,8.0
B1,-1.039405916908403,-0.98177048128345,8.0
B1,-0.98177048128345,-0.924135045658497,17.0
B1,-0.924135045658497,-0.8664996100335441,23.0
B1,-0.8664996100335441,-0.8088641744085913,28.0
B1,-0.8088641744085913,-0.7512287387836383,32.0
B1,-0.7512287387836383,-0.6935933031586854,42.0
B1,-0.6935933031586854,-0.6359578675337325,43.0
B1,-0.6359578675337325,-0.5783224319087795,28.0
B1,-0.5783224319087795,-0.5206869962838266,27.0
B1,-0.5206869962838266,-0.46305156065887376,13.0
B1,-0.46305156065887376,-0.40541612503392077,12.0
B1,-0.40541612503392077,-0.3477806894089679,7.0
B1,-0.3477806894089679,-0.290145253784015,5.0
B1,-0.290145253784015,-0.23250981815906213,0.0
B1,-0.23250981815906213,-0.17487438253410925,3.0
B1,-0.17487438253410925,-0.11723894690915615,2.0
B1,-0.11723894690915615,-0.05960351128420327,3.0
B1,-0.05960351128420327,-0.001968075659250478,2.0
A2,0.019626238074723176,0.07585794604645552,4.0
A2,0.07585794604645552,0.13208965401818784,2.0
A2,0.13208965401818784,0.18832136198992022,4.0
A2,0.18832136198992022,0.24455306996165255,13.0
A2,0.24455306996165255,0.3007847779333849,10.0
A2,0.3007847779333849,0.35701648590511725,26.0
A2,0.35701648590511725,0.4132481938768496,32.0
A2,0.4132481938768496,0.4694799018485819,43.0
A2,0.4694799018485819,0.5257116098203143,62.0
A2,0.5257116098203143,0.5819433177920466,64.0
A2,0.5819433177920466,0.6381750257637789,81.0
A2,0.6381750257637789,0.6944067337355113,76.0
A2,0.6944067337355113,0.7506384417072436,65.0
A2,0.7506384417072436,0.806870149678976,48.0
A2,0.806870149678976,0.8631018576507082,33.0
A2,0.8631018576507082,0.9193335656224406,32.0
A2,0.9193335656224406,0.975565273594173,17.0
A2,0.975565273594173,1.0317969815659054,11.0
A2,1.0317969815659054,1.0880286895376376,8.0
A2,1.0880286895376376,1.14426039750937,2.0
A2,1.14426039750937,1.2004921054811024,1.0
A2,1.2004921054811024,1.2567238134528347,3.0
A2,1.2567238134528347,1.312955521424567,0.0
A2,1.312955521424567,1.3691872293962994,1.0
A2,1.3691872293962994,1.4254189373680317,1.0
B2,1.5204219570124748,1.5845746640176899,1.0
B2,1.5845746640176899,1.648727371022905,3.0
B2,1.648727371022905,1.71288007802812,1.0
B2,1.71288007802812,1.777032785033335,9.0
B2,1.777032785033335,1.84118549203855,5.0
B2,1.84118549203855,1.905338199043765,13.0
B2,1.905338199043765,1.9694909060489802,15.0
B2,1.9694909060489802,2.033643613054195,19.0
B2,2.033643613054195,2.0977963200594103,16.0
B2,2.0977963200594103,2.161949027064625,20.0
B2,2.161949027064625,2.2261017340698404,9.0
B2,2.2261017340698404,2.2902544410750556,33.0
B2,2.2902544410750556,2.3544071480802704,32.0
B2,2.3544071480802704,2.418559855085485,24.0
B2,2.418559855085485,2.4827125620907005,36.0
B2,2.4827125620907005,2.5468652690959157,19.0
B2,2.5468652690959157,2.6110179761011305,17.0
B2,2.6110179761011305,2.6751706831063453,17.0
B2,2.6751706831063453,2.7393233901115606,12.0
B2,2.7393233901115606,2.803476097116776,6.0
B2,2.803476097116776,2.8676288041219906,2.0
B2,2.8676288041219906,2.9317815111272054,1.0
B2,2.9317815111272054,2.9959342181324207,2.0
B2,2.9959342181324207,3.060086925137636,2.0
B2,3.060086925137636,3.1242396321428507,3.0
