B_01,r1_01,r2_01,r3_01,r4_01,B_02,r1_02,r2_02,r3_02,r4_02,B_03,r1_03,r2_03,r3_03,r4_03,B_04,r1_04,r2_04,r3_04,r4_04,B_05,r1_05,r2_05,r3_05,r4_05,B_06,r1_06,r2_06,r3_06,r4_06,B_07,r1_07,r2_07,r3_07,r4_07,B_08,r1_08,r2_08,r3_08,r4_08,B_09,r1_09,r2_09,r3_09,r4_09,B_10,r1_10,r2_10,r3_10,r4_10,B_11,r1_11,r2_11,r3_11,r4_11,B_12,r1_12,r2_12,r3_12,r4_12,B_13,r1_13,r2_13,r3_13,r4_13,B_14,r1_14,r2_14,r3_14,r4_14
-12.015,,,,,-12.015,1.0,1.0,1.0,1.0,-18.155,0.98,0.958,0.992,1.0,-12.015,1.0,0.998,1.0,1.0,-18.155,0.906,0.743,0.858,0.894,-18.155,0.878,0.834,0.85,0.778,-18.155,0.228,0.432,0.342,0.194,-18.155,0.528,0.384,0.506,0.428,-18.155,0.974,0.935,0.964,0.927,-18.155,0.981,1.0,1.0,1.0,-18.155,1.0,1.0,1.0,1.0,-30.81,0.062,0.084,0.166,0.0,-25.83,1.0,,1.0,0.984,-18.155,1.0,1.0,1.0,1.0
,,,,,,,,,,-18.061,1.0,0.998,0.994,0.949,,,,,,-18.061,0.768,0.954,0.891,0.982,-18.061,0.494,0.824,0.591,0.898,-18.061,0.401,0.463,0.49,0.121,-18.061,0.667,0.408,0.719,0.647,-18.061,0.996,0.979,1.0,1.0,-18.061,0.0,1.0,0.943,1.0,-18.061,1.0,1.0,1.0,0.986,-30.378,0.531,0.074,0.0,0.061,-24.969,1.0,,1.0,0.875,-18.061,1.0,1.0,1.0,
,,,,,,,,,,-18.008,0.972,1.0,1.0,0.993,,,,,,-18.008,0.784,0.948,0.962,0.78,-18.008,0.749,0.47,0.792,0.808,-18.008,0.193,0.443,0.262,0.32,-18.008,0.573,0.515,0.703,0.858,-18.008,0.836,1.0,0.965,0.965,-18.008,,1.0,1.0,1.0,-18.008,1.0,1.0,1.0,,-29.946,0.454,0.272,0.022,0.086,-24.295,,,0.848,1.0,-18.008,1.0,1.0,1.0,
,,,,,,,,,,-16.62,1.0,0.988,0.998,0.997,,,,,,-16.62,0.926,0.896,0.997,0.99,-16.62,0.982,0.894,0.857,0.895,-16.62,0.656,0.55,0.645,0.674,-16.62,0.875,0.957,1.0,0.976,-16.62,1.0,0.954,1.0,1.0,-16.62,1.0,1.0,0.98,1.0,-16.62,1.0,1.0,1.0,1.0,-29.515,0.317,0.103,0.515,0.046,-23.587,1.0,0.877,1.0,1.0,-16.62,1.0,1.0,1.0,0.978
,,,,,,,,,,-15.085,0.998,1.0,0.987,1.0,,,,,,-15.085,0.985,0.985,0.99,0.986,-15.085,0.985,0.982,0.99,0.986,-15.085,0.858,0.926,0.904,0.948,-15.085,0.995,1.0,0.972,1.0,-15.085,1.0,1.0,1.0,1.0,-15.085,1.0,1.0,1.0,1.0,-15.085,1.0,1.0,1.0,,-29.083,0.458,0.022,0.623,0.119,-22.76,1.0,1.0,,1.0,-15.085,1.0,1.0,1.0,
,,,,,,,,,,-13.55,1.0,1.0,0.995,0.996,,,,,,-13.55,1.0,1.0,0.958,0.999,-13.55,1.0,0.996,0.989,1.0,-13.55,0.977,0.982,0.702,0.967,-13.55,1.0,0.994,1.0,1.0,-13.55,1.0,1.0,1.0,1.0,-13.55,1.0,1.0,1.0,1.0,-13.55,1.0,1.0,,1.0,-28.651,0.429,0.587,0.002,0.118,-22.206,1.0,1.0,1.0,1.0,-13.55,1.0,1.0,1.0,1.0
,,,,,,,,,,-12.015,0.998,1.0,1.0,1.0,,,,,,-12.015,1.0,1.0,1.0,1.0,-12.015,0.998,1.0,0.888,1.0,-12.015,1.0,0.984,0.999,0.998,-12.015,0.968,1.0,1.0,1.0,-12.015,1.0,1.0,1.0,1.0,-12.015,1.0,1.0,1.0,1.0,-12.015,1.0,1.0,0.994,,-28.219,0.663,0.322,0.535,0.754,-21.225,1.0,,1.0,1.0,-12.015,1.0,1.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.788,0.782,0.787,0.658,0.827,-20.824,,,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.636,0.868,0.44,0.766,0.734,-19.69,1.0,,1.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.83,1.0,,0.853,0.967,-19.443,1.0,,1.0,1.0,,,,,
