Ligand	Mu_ex	Mu_ex_err	B50	B50_err
01	-1.73	0.04	-22.24	0.33
02	-1.76	0.02	-22.06	0.23
03	-1.73	0.03	-22.69	0.12
04	-1.96	0.04	-21.17	0.59
05	-1.99	0.03	-20.12	0.23
06	-2.2	0.05	-18.98	0.14
07	-2.51	0.03	-17.26	0.08
08	-2.42	0.03	-18.41	0.13
09	-2.54	0.08	-20.62	0.23
10	-2.24	0.02	-21.94	0.22
11	-1.94	0.12	-22.79	0.36
