Bs_03,Mean_fit_03,Bs_11,Mean_fit_11,Bs_01,Mean_fit_01,Bs_02,Mean_fit_02,Bs_10,Mean_fit_10,Bs_04,Mean_fit_04,Bs_05,Mean_fit_05,Bs_09,Mean_fit_09,Bs_06,Mean_fit_06,Bs_08,Mean_fit_08,Bs_07,Mean_fit_07
-33.115752508361204,2.307554065525429e-05,-33.115752508361204,4.929409392823205e-06,-33.115752508361204,8.314828197069496e-07,-33.115752508361204,1.6181038100497322e-05,-33.115752508361204,1.0196522404030472e-06,-33.115752508361204,1.1796291151530203e-08,-33.115752508361204,6.02782934019733e-06,-33.115752508361204,1.3955666329883246e-10,-33.115752508361204,1.6912579670944408e-08,-33.115752508361204,1.4753488317625872e-08,-33.115752508361204,1.4899359762658146e-07
-33.00265886287625,2.5910273020155147e-05,-33.00265886287625,5.635580610890019e-06,-33.00265886287625,9.617326219953614e-07,-33.00265886287625,1.8114702843357034e-05,-33.00265886287625,1.1724089370559367e-06,-33.00265886287625,1.4022148794591755e-08,-33.00265886287625,6.692548714241418e-06,-33.00265886287625,1.7138784936784505e-10,-33.00265886287625,1.9515529047312193e-08,-33.00265886287625,1.6948135498376952e-08,-33.00265886287625,1.6667557824653445e-07
-32.8895652173913,2.9093230109693318e-05,-32.8895652173913,6.442914977831726e-06,-32.8895652173913,1.112385722731354e-06,-32.8895652173913,2.0279439504303916e-05,-32.8895652173913,1.3480504722757623e-06,-32.8895652173913,1.6668006427561277e-08,-32.8895652173913,7.430569527006137e-06,-32.8895652173913,2.104793437761107e-10,-32.8895652173913,2.251908823218838e-08,-32.8895652173913,1.9469246227985846e-08,-32.8895652173913,1.8645598715689024e-07
-32.776471571906356,3.266718596867965e-05,-32.776471571906356,7.365904505085474e-06,-32.776471571906356,1.286638238772861e-06,-32.776471571906356,2.2702859868887092e-05,-32.776471571906356,1.5500052674014647e-06,-32.776471571906356,1.9813114394968714e-08,-32.776471571906356,8.249974913831815e-06,-32.776471571906356,2.584871349948697e-10,-32.776471571906356,2.5984913519139406e-08,-32.776471571906356,2.2365383412239383e-08,-32.776471571906356,2.0858385751999924e-07
-32.663377926421404,3.6680168085614215e-05,-32.663377926421404,8.42111717920277e-06,-32.663377926421404,1.4881869467189047e-06,-32.663377926421404,2.541587487402387e-05,-32.663377926421404,1.7822153589155601e-06,-32.663377926421404,2.355167689076722e-08,-32.663377926421404,9.159739328373155e-06,-32.663377926421404,3.1744492242525146e-10,-32.663377926421404,2.9984150480473246e-08,-32.663377926421404,2.5692333904635475e-08,-32.663377926421404,2.3333777674332957e-07
-32.55028428093645,4.118610243303991e-05,-32.55028428093645,9.62749432562724e-06,-32.55028428093645,1.721307708508629e-06,-32.55028428093645,2.845308872583901e-05,-32.55028428093645,2.049213342598886e-06,-32.55028428093645,2.799567361891686e-08,-32.55028428093645,1.0169826820410764e-05,-32.55028428093645,3.898502676901844e-10,-32.55028428093645,3.459889442464736e-08,-32.55028428093645,2.951418310045013e-08,-32.55028428093645,2.61029393851113e-07
-32.4371906354515,4.624553766186227e-05,-32.4371906354515,1.1006690561225913e-05,-32.4371906354515,1.9909461816642047e-06,-32.4371906354515,3.1853240079681804e-05,-32.4371906354515,2.3562108442779796e-06,-32.4371906354515,3.3278213876437504e-08,-32.4371906354515,1.1291300148293507e-05,-32.4371906354515,4.787703959932951e-10,-32.4371906354515,3.992387562680037e-08,-32.4371906354515,3.390454938134306e-08,-32.4371906354515,2.9200734309434325e-07
-32.324096989966556,5.192645815052454e-05,-32.324096989966556,1.2583462433400759e-05,-32.324096989966556,2.302822738353275e-06,-32.324096989966556,3.5659695897194875e-05,-32.324096989966556,2.709200243795225e-06,-32.324096989966556,3.955752352226796e-08,-32.324096989966556,1.253644192010231e-05,-32.324096989966556,5.879721294871274e-10,-32.324096989966556,4.606840392629582e-08,-32.324096989966556,3.894800218894255e-08,-32.324096989966556,3.2666163319590446e-07
-32.211003344481604,5.8305196795657364e-05,-32.211003344481604,1.4386112716144999e-05,-32.211003344481604,2.6635538188017995e-06,-32.211003344481604,3.992100426397331e-05,-32.211003344481604,3.1150716374390303e-06,-32.211003344481604,4.702168425177113e-08,-32.211003344481604,1.3918889089142545e-05,-32.211003344481604,7.220814568699081e-10,-32.211003344481604,5.3158612609359905e-08,-32.211003344481604,4.4741691042989194e-08,-32.211003344481604,3.654285574896997e-07
-32.09790969899665,6.546745976063801e-05,-32.09790969899665,1.644699833062662e-05,-32.09790969899665,3.080792293128028e-06,-32.09790969899665,4.469151319932119e-05,-32.09790969899665,3.581747321399546e-06,-32.09790969899665,5.5894267130108205e-08,-32.09790969899665,1.5453782275349688e-05,-32.09790969899665,8.867794988756097e-10,-32.09790969899665,6.134004763849422e-08,-32.09790969899665,5.1397216882908045e-08,-32.09790969899665,4.0879618677026714e-07
-31.984816053511704,7.350947688971973e-05,-31.984816053511704,1.8803110997552813e-05,-31.984816053511704,3.563389808778776e-06,-31.984816053511704,5.003206332623905e-05,-31.984816053511704,4.118336420660979e-06,-31.984816053511704,6.644102912293658e-08,-31.984816053511704,1.7157931546226562e-05,-31.984816053511704,1.089043171119968e-09,-31.984816053511704,7.07806553794906e-08,-31.984816053511704,5.904278177941724e-08,-31.984816053511704,4.5731051400528005e-07
-31.871722408026756,8.25392931672925e-05,-31.871722408026756,2.1496741030964295e-05,-31.871722408026756,4.121584566966876e-06,-31.871722408026756,5.601076320543556e-05,-31.871722408026756,4.7353126807622005e-06,-31.871722408026756,7.89778732021696e-08,-31.871722408026756,1.9050000470768412e-05,-31.871722408026756,1.3374407392278758e-09,-31.871722408026756,8.167423015705359e-08,-31.871722408026756,6.782565842483232e-08,-31.871722408026756,5.115823282696607e-07
-31.758628762541804,9.267821847601348e-05,-31.758628762541804,2.457623617138379e-05,-31.758628762541804,4.767218510707808e-06,-31.758628762541804,6.270385718347631e-05,-31.758628762541804,5.444718891710878e-06,-31.758628762541804,9.388031045156264e-08,-31.758628762541804,2.115071045943393e-05,-31.758628762541804,1.6424947865065197e-09,-31.758628762541804,9.424439240917619e-08,-31.758628762541804,7.791502697041765e-08,-31.758628762541804,5.722949044402056e-07
-31.645535117056856,0.00010406245500798837,-31.645535117056856,2.809686905680902e-05,-31.645535117056856,5.513988530649429e-06,-31.645535117056856,7.019669677507724e-05,-31.645535117056856,6.260401932819017e-06,-31.645535117056856,1.115947075852171e-07,-31.645535117056856,2.3483067624744368e-05,-31.645535117056856,2.0171279701490496e-09,-31.645535117056856,1.0874917910229445e-07,-31.645535117056856,8.950523385508409e-08,-31.645535117056856,6.402126054591675e-07
-31.532441471571907,0.00011684492403668981,-31.532441471571907,3.212182887302532e-05,-31.532441471571907,6.3777370160778774e-06,-31.532441471571907,7.858482790742705e-05,-31.532441471571907,7.198283024452981e-06,-31.532441471571907,1.3265165676917263e-07,-31.532441471571907,2.6072614642937286e-05,-31.532441471571907,2.477210449029207e-09,-31.532441471571907,1.2548634063739225e-07,-31.532441471571907,1.0281953539825967e-07,-31.532441471571907,7.161905054634031e-07
-31.419347826086955,0.0001311973163936275,-31.419347826086955,3.6723354944480526e-05,-31.419347826086955,7.376787912522549e-06,-31.419347826086955,8.797520781628742e-05,-31.419347826086955,8.276668459275691e-06,-31.419347826086955,1.576818682037755e-07,-31.419347826086955,2.8947710369919473e-05,-31.419347826086955,3.0422321731437393e-09,-31.419347826086955,1.4479945297967259e-07,-31.419347826086955,1.1811439826739619e-07,-31.419347826086955,8.01185154926917e-07
-31.306254180602004,0.0001473123939460719,-31.306254180602004,4.1984032562684276e-05,-31.306254180602004,8.532335411911103e-06,-31.306254180602004,9.848756701733083e-05,-31.306254180602004,9.516606874858015e-06,-31.306254180602004,1.874350614863995e-07,-31.306254180602004,3.213984026750661e-05,-31.306254180602004,3.736128514129712e-09,-31.306254180602004,1.67084970478792e-07,-31.306254180602004,1.356844396572149e-07,-31.306254180602004,8.962666233409775e-07
-31.193160535117055,0.00016540657267712617,-31.193160535117055,4.799827424540471e-05,-31.193160535117055,9.868893516626113e-06,-31.193160535117055,0.00011025593360150827,-31.193160535117055,1.0942300036888475e-05,-31.193160535117055,2.2280242159340776e-07,-31.193160535117055,3.568396103185708e-05,-31.193160535117055,4.588294212094737e-09,-31.193160535117055,1.9280036415651803e-07,-31.193160535117055,1.5586810234004048e-07,-31.193160535117055,1.0026319710379862e-06
-31.080066889632107,0.00018572282166786207,-31.080066889632107,5.4874012927663135e-05,-31.080066889632107,1.1414816008648996e-05,-31.080066889632107,0.00012343033914219968,-31.080066889632107,1.2581575145238959e-05,-31.080066889632107,2.64843292087106e-07,-31.080066889632107,3.9618883188722655e-05,-31.080066889632107,5.634828591423347e-09,-31.080066889632107,2.2247351252030506e-07,-31.080066889632107,1.790541739017333e-07,-31.080066889632107,1.1216203197555728e-06
-30.966973244147155,0.00020853391641815315,-30.966973244147155,6.273463736255501e-05,-30.966973244147155,1.3202897846470045e-05,-30.966973244147155,0.00013817872777887363,-30.966973244147155,1.4466427874094975e-05,-30.966973244147155,3.148169050654228e-07,-30.966973244147155,4.398769583364359e-05,-30.966973244147155,6.920064795201404e-09,-30.966973244147155,2.567135376720917e-07,-30.966973244147155,2.0568927573848515e-07,-30.966973244147155,1.2547297116622382e-06
-30.853879598662207,0.00023414608956802513,-30.853879598662207,7.172120432206753e-05,-30.853879598662207,1.5271070737054262e-05,-30.853879598662207,0.00015468909258399376,-30.853879598662207,1.663364673547947e-05,-30.853879598662207,3.7422009823005315e-07,-30.853879598662207,4.883823815394097e-05,-30.853879598662207,8.498447819448445e-09,-30.853879598662207,2.9622330914930414e-07,-30.853879598662207,2.362864660692747e-07,-30.853879598662207,1.4036359690784462e-06
-30.740785953177255,0.0002629031272495835,-30.740785953177255,8.199496711017036e-05,-30.740785953177255,1.7663207624221676e-05,-30.740785953177255,0.00017317186615683746,-30.740785953177255,1.9125530939490765e-05,-30.740785953177255,4.448321487707665e-07,-30.740785953177255,5.422362287820126e-05,-30.740785953177255,1.0436840904144354e-08,-30.740785953177255,3.4181387216855445e-07,-30.740785953177255,2.714351226768704e-07,-30.740785953177255,1.5702137923108692e-06
-30.627692307692307,0.0002951909650710096,-30.627692307692307,9.374026551748298e-05,-30.627692307692307,2.04300531402999e-05,-30.627692307692307,0.0001938625955527224,-30.627692307692307,2.199071574508472e-05,-30.627692307692307,5.287680669195386e-07,-30.627692307692307,6.020281736331524e-05,-30.627692307692307,1.2817357984005353e-08,-30.627692307692307,3.9442109644439574e-07,-30.627692307692307,3.1181229574014236e-07,-30.627692307692307,1.756560361188689e-06
-30.514598662207355,0.00033144284417476534,-30.514598662207355,0.00010716782875525997,-30.514598662207355,2.363029973331208e-05,-30.514598662207355,0.00021702493518531703,-30.514598662207355,2.5285121387447463e-05,-30.514598662207355,6.285419454017019e-07,-30.514598662207355,6.684128865503861e-05,-30.514598662207355,1.574084218680675e-08,-30.514598662207355,4.551248873366941e-07,-30.514598662207355,3.5819574943700034e-07,-30.514598662207355,1.965021737404855e-06
-30.401505016722407,0.0003721450949936925,-30.401505016722407,0.00012251855021549928,-30.401505016722407,2.7331832263220058e-05,-30.401505016722407,0.00024295399527317772,-30.401505016722407,2.907304407229276e-05,-30.401505016722407,7.471422621892084e-07,-30.401505016722407,7.421171955206703e-05,-30.401505016722407,1.9331137734775727e-08,-30.401505016722407,5.251713536758257e-07,-30.401505016722407,4.1147894352567014e-07,-30.401505016722407,2.198222400017125e-06
-30.28841137123746,0.00041784362432934483,-30.28841137123746,0.00014006780123746398,-30.28841137123746,3.161316742244311e-05,-30.28841137123746,0.0002719800877834441,-30.28841137123746,3.342841029009857e-05,-30.28841137123746,8.88121391962303e-07,-30.28841137123746,8.239480347311726e-05,-30.28841137123746,2.3740336214542822e-08,-30.28841137123746,6.059983873049029e-07,-30.28841137123746,4.7268824347892425e-07,-30.28841137123746,2.4590982858980793e-06
-30.175317725752507,0.00046915119028073736,-30.175317725752507,0.00016013036055850444,-30.175317725752507,3.656511845250627e-05,-30.175317725752507,0.0003044729167037058,-30.175317725752507,3.843621887747353e-05,-30.175317725752507,1.0557020072291123e-06,-30.175317725752507,9.148012677950086e-05,-30.175317725752507,2.915521945709569e-08,-30.175317725752507,6.992651794075574e-07,-30.175317725752507,5.430026906707319e-07,-30.175317725752507,2.750933751035017e-06
-30.06222408026756,0.0005267555594492563,-30.06222408026756,0.0001830660469465629,-30.06222408026756,4.2292720386170585e-05,-30.06222408026756,0.00034084626489996146,-30.06222408026756,4.419419889940071e-05,-30.06222408026756,1.2549035558790609e-06,-30.06222408026756,0.00010156714815110748,-30.06222408026756,3.580517195964793e-08,-30.06222408026756,8.068862794959853e-07,-30.06222408026756,6.237767134243739e-07,-30.06222408026756,3.0774029179248997e-06
-29.949130434782607,0.0005914286518328924,-29.949130434782607,0.00020928615483058817,-29.949130434782607,4.891745654179995e-05,-29.949130434782607,0.00038156323585126307,-29.949130434782607,5.081471561479902e-05,-29.949130434782607,1.4916926031986358e-06,-29.949130434782607,0.00011276628566136705,-29.949130434782607,4.3971898033627624e-08,-29.949130434782607,9.310708961749397e-07,-29.949130434782607,7.165662163749022e-07,-29.949130434782607,3.4426159295065663e-06
-29.83603678929766,0.0006640367910015466,-29.83603678929766,0.00023926080676258508,-29.83603678929766,5.657983334810169e-05,-29.83603678929766,0.0004271421152516678,-29.83603678929766,5.842696159853818e-05,-29.83603678929766,1.7731615410549832e-06,-29.83603678929766,0.00012520012335743192,-29.83603678929766,5.400135531417514e-08,-29.83603678929766,1.0743682463863106e-06,-29.83603678929766,8.231585506674771e-07,-29.83603678929766,3.851170691815384e-06
-29.722943143812707,0.0007455521906206481,-29.722943143812707,0.00027352735248438995,-29.722943143812707,6.544235791414495e-05,-29.722943143812707,0.00047816292490396756,-29.722943143812707,6.71794756171723e-05,-29.722943143812707,2.107741016446068e-06,-29.722943143812707,0.00013900475043742504,-29.722943143812707,6.631841015520213e-08,-29.722943143812707,1.2397198839837117e-06,-29.722943143812707,9.456069422599621e-07,-29.722943143812707,4.308210756611343e-06
-29.60984949832776,0.00083706582327039,-29.60984949832776,0.00031269996248234127,-29.60984949832776,7.569298123277218e-05,-29.60984949832776,0.0005352747495679647,-29.60984949832776,7.724303819773616e-05,-29.60984949832776,2.5054524413474725e-06,-29.60984949832776,0.0001543312475401469,-29.60984949832776,8.144483573735619e-08,-29.60984949832776,1.4305200817335288e-06,-29.60984949832776,1.086270041461695e-06,-29.60984949832776,4.8194900724866e-06
-29.49675585284281,0.0009398018339011993,-29.49675585284281,0.0003574805844704859,-29.49675585284281,8.754907968895861e-05,-29.49675585284281,0.0005992039265442505,-29.49675585284281,8.881400010844565e-05,-29.49675585284281,2.978208145970959e-06,-29.49675585284281,0.00017134733623852557,-29.49675585284281,1.0002141531854607e-07,-29.49675585284281,1.6506855061275937e-06,-29.49675585284281,1.2478573554745902e-06,-29.49675585284281,5.391445419374388e-06
-29.383662207357858,0.0010551336782773336,-29.383662207357858,0.0004086714545534703,-29.383662207357858,0.00010126205883771686,-29.383662207357858,0.000670763197851102,-29.383662207357858,0.00010211810832337954,-29.383662207357858,3.5401681640922408e-06,-29.383662207357858,0.00019023920957195593,-29.383662207357858,1.2283508695625527e-07,-29.383662207357858,1.9047356151126368e-06,-29.383662207357858,1.4334814390055648e-06,-29.383662207357858,6.0312774380416756e-06
-29.270568561872906,0.0011846021864877604,-29.270568561872906,0.00046718938121976383,-29.270568561872906,0.0001171226764476313,-29.270568561872906,0.0007508619359692904,-29.270568561872906,0.00011741490362568087,-29.270568561872906,4.208164334675126e-06,-29.270568561872906,0.00021121356338178052,-29.270568561872906,1.508522795941673e-07,-29.270568561872906,2.1978854289056326e-06,-29.270568561872906,1.6467178481726943e-06,-29.270568561872906,6.747041274267263e-06
-29.157474916387958,0.0013299357731305916,-29.157474916387958,0.000534082050170615,-29.157474916387958,0.00013546719683796795,-29.157474916387958,0.0008405175663705932,-29.157474916387958,0.00013500277499248634,-29.157474916387958,5.002204419316459e-06,-29.157474916387958,0.00023449985034724045,-29.157474916387958,1.8525985267905316e-07,-29.157474916387958,2.5361525779842745e-06,-29.157474916387958,1.891674012436148e-06,-29.157474916387958,7.5477479783415855e-06
