Ligand,Mu_Ex,Mu_Ex_err
Benzene,-0.5130343171916484,0.025307042787314347
Benzofuran_0,-3.1201053701350925,0.02170945334716209
Benzofuran_1,-3.1201053701350925,0.02170945334716209
Benzofuran_4,-3.1201053701350925,0.02170945334716209
Ethylbenzene,-0.20299788226099044,0.02734269776160917
Indene_0,-2.0972660928520708,0.016246841017200975
Indene_1,-2.0972660928520708,0.016246841017200975
Indene_2,-2.0972660928520708,0.016246841017200975
Indene_3,-2.0972660928520708,0.016246841017200975
Indole_2,-6.1293261278107,0.015181973142218154
Indole_3,-6.1293261278107,0.015181973142218154
m-xylene_2,-0.20846041286100622,0.035903042227174935
m-xylene_3,-0.20846041286100622,0.035903042227174935
o-xylene_2,-0.4229053677426551,0.015326795440025819
o-xylene_4,-0.4229053677426551,0.015326795440025819
Phenol_1,-5.206573494631095,0.038552597281329974
Propylbenzene,0.0814834467690939,0.045353567921479335
Thianaphthene_3,-2.2651407201543514,0.03556072268582201
Thianaphthene_4,-2.2651407201543514,0.03556072268582201
Thianaphthene_5,-2.2651407201543514,0.03556072268582201
Toluene_0,-0.3610988059935985,0.0382846259492549
Toluene_1,-0.3610988059935985,0.0382846259492549
Isobutylbenzene_2,0.3196866838019676,0.0095007411658812
Isobutylbenzene_3,0.3196866838019676,0.0095007411658812
n-Butylbenzene_2,0.3754588811888786,0.0146327589931763
n-Butylbenzene_3,0.3754588811888786,0.0146327589931763
p-Xylene,-0.2643626957670811,0.0124795249126639
2-Fluorobenzaldehyde_2,-3.281285152370161,0.0124149970990091
2-Fluorobenzaldehyde_3,-3.281285152370161,0.0124149970990091
"1,2-Dichlorobenzene",-0.0266027581969675,0.0140822882180309
n-Methylaniline,-4.5632817511114725,0.0100028118143894
1-Methylpyrrole,-2.1182495116840063,0.007779315717082
"1,2-Benzenedithiol",-1.9234836329564449,0.0580140128711465
"Thieno[2,3-c]pyridine_0",-4.162609359875152,0.0318679280531858
"Thieno[2,3-c]pyridine_1",-4.162609359875152,0.0318679280531858
