-4.593697553803109	0.203661567968041	Benzene
-3.8330000932617954	0.12501171977054618	Benzofuran
-3.502943842323192	0.12877740769689808	Indene
-1.580170540249217	0.148469158361167	Indole
-4.199876604706013	0.09917624165902764	Toluene
-4.5964209296059	0.03258833873491993	Ethylbenzene
-3.821153077212101	0.25195725052345186	m-xylene
-3.7219083713999335	0.1640207161763933	o-xylene
-1.3332730404569693	0.2280240231230889	Phenol
-4.93555767869201	0.11029660266774388	Propylbenzene
-5.278017550237172	0.24846445775189263	Thianaphthene
-5.8612290019827045	0.13236977803656577	Isobutylbenzene
-5.431949813179534	0.1449545561378908	n-Butylbenzene
-3.958701353402798	0.14374349829598893	p-Xylene
-2.328069026515584	0.10291785973794468	2-Fluorobenzaldehyde
-5.805014596689159	0.274982449534456	1,2-Dichlorobenzene
-2.31291666155908	0.1834410633078298	n-Methylaniline
-4.390847338087026	0.2506896694056885	1-Methylpyrrole
-4.4436359657795155	0.2076716687864124	1,2-Benzenedithiol
-4.041176462868417	0.15466741048419996	Thieno[2,3-c]pyridine
