-13.593, 0.004, 0.008, 0.001, 0.064
-11.291, 0.201, 0.013, 0.54, 0.008
-10.859, 0.057, 0.256, 0.003, 0.148
-10.427, 0.001, 0.0, 0.011, 0.525
-9.996, 0.909, 0.195, 0.065, 0.001
-9.564, 0.267, 0.907, 0.989, 0.533
-9.132, 0.828, 0.766, 1.0, 0.806
-8.7, 0.979, 0.224, 0.897, 0.389
-8.269, 0.754, 0.717, 0.894, 0.967
-7.837, 0.919, 0.924, 0.22, 0.75
-7.405, 0.985, 0.957, 0.909, 0.904
-6.974, 0.819, 0.995, 0.988, 0.947
-6.542, 1.0, 0.989, 0.994, 0.859
-6.11, 0.982, 0.919, 0.949, 0.934
-5.678, 1.0, 1.0, 0.975, 0.996
-5.247, 0.978, 0.908, 1.0, 0.995
-4.815, 0.999, 0.989, 0.996, 1.0
-4.383, 0.959, 0.915, 0.995, 0.999
-3.232, 1.0, 1.0, 1.0, 0.999
-2.081, 1.0, 1.0, 1.0, 1.0
