-13.019, 0.0, 0.0, 0.0, 0.0
-10.717, 0.049, 0.002, 0.169, 0.596
-10.285, 0.012, 0.002, 0.563, 0.019
-9.853, 0.361, 0.005, 0.249, 0.158
-9.422, 0.0, 0.641, 0.047, 0.648
-8.99, 0.986, 0.066, 0.015, 0.083
-8.558, 0.08, 0.033, 0.062, 0.514
-8.126, 0.749, 0.954, 0.089, 0.072
-7.695, 0.031, 0.206, 0.998, 1.0
-7.263, 1.0, 0.025, 0.949, 0.011
-6.831, 0.083, 0.911, 0.659, 0.201
-6.399, 0.484, 0.907, 0.223, 0.937
-5.968, 0.914, 1.0, 0.949, 0.774
-5.536, 0.001, 0.942, 0.36, 0.998
-5.104, 0.813, 0.919, 0.951, 1.0
-4.672, 0.925, 0.914, 0.985, 1.0
-4.241, 0.89, 0.95, 0.995, 1.0
-3.809, 0.98, 1.0, 0.136, 0.986
-2.658, 1.0, 0.999, 1.0, 0.485
-1.506, 0.958, 0.978, 1.0, 0.975
