-11.696, 0.01, 0.004, 0.0, 0.011
-9.394, 0.166, 0.124, 0.0, 0.175
-8.962, 0.0, 0.255, 0.712, 0.117
-8.53, 0.043, 0.0, 0.114, 0.061
-8.098, 0.861, 0.262, 0.693, 0.984
-7.667, 0.684, 0.849, 0.712, 0.077
-7.235, 0.797, 0.723, 0.312, 0.952
-6.803, 0.433, 0.879, 0.983, 0.889
-6.371, 0.935, 0.598, 0.404, 0.957
-5.94, 0.967, 0.916, 0.951, 0.877
-5.508, 0.33, 0.902, 0.981, 0.996
-5.076, 1.0, 0.989, 0.998, 0.992
-4.644, 1.0, 0.989, 0.958, 0.985
-4.213, 0.983, 0.906, 0.115, 0.949
-3.781, 0.967, 1.0, 1.0, 0.989
-3.349, 1.0, 1.0, 1.0, 0.995
-2.918, 1.0, 1.0, 1.0, 1.0
-2.486, 1.0, 0.999, 0.997, 1.0
-1.335, 1.0, 1.0, 1.0, 1.0
-0.183, 0.993, 0.999, 1.0, 0.997
