B_Benzene,r1_Benzene,r2_Benzene,r3_Benzene,r4_Benzene,B_Benzofuran,r1_Benzofuran,r2_Benzofuran,r3_Benzofuran,r4_Benzofuran,B_Indene,r1_Indene,r2_Indene,r3_Indene,r4_Indene,B_Indole,r1_Indole,r2_Indole,r3_Indole,r4_Indole,B_Toluene,r1_Toluene,r2_Toluene,r3_Toluene,r4_Toluene,B_Ethylbenzene,r1_Ethylbenzene,r2_Ethylbenzene,r3_Ethylbenzene,r4_Ethylbenzene,B_m-xylene,r1_m-xylene,r2_m-xylene,r3_m-xylene,r4_m-xylene,B_o-xylene,r1_o-xylene,r2_o-xylene,r3_o-xylene,r4_o-xylene,B_Phenol,r1_Phenol,r2_Phenol,r3_Phenol,r4_Phenol,B_Propylbenzene,r1_Propylbenzene,r2_Propylbenzene,r3_Propylbenzene,r4_Propylbenzene,B_Thianaphthene,r1_Thianaphthene,r2_Thianaphthene,r3_Thianaphthene,r4_Thianaphthene,B_Isobutylbenzene,r1_Isobutylbenzene,r2_Isobutylbenzene,r3_Isobutylbenzene,r4_Isobutylbenzene,B_n-Butylbenzene,r1_n-Butylbenzene,r2_n-Butylbenzene,r3_n-Butylbenzene,r4_n-Butylbenzene,B_p-Xylene,r1_p-Xylene,r2_p-Xylene,r3_p-Xylene,r4_p-Xylene,B_2-Fluorobenzaldehyde,r1_2-Fluorobenzaldehyde,r2_2-Fluorobenzaldehyde,r3_2-Fluorobenzaldehyde,r4_2-Fluorobenzaldehyde,"B_1,2-Dichlorobenzene","r1_1,2-Dichlorobenzene","r2_1,2-Dichlorobenzene","r3_1,2-Dichlorobenzene","r4_1,2-Dichlorobenzene",B_n-Methylaniline,r1_n-Methylaniline,r2_n-Methylaniline,r3_n-Methylaniline,r4_n-Methylaniline,B_1-Methylpyrrole,r1_1-Methylpyrrole,r2_1-Methylpyrrole,r3_1-Methylpyrrole,r4_1-Methylpyrrole,"B_1,2-Benzenedithiol","r1_1,2-Benzenedithiol","r2_1,2-Benzenedithiol","r3_1,2-Benzenedithiol","r4_1,2-Benzenedithiol","B_Thieno[2,3-c]pyridine","r1_Thieno[2,3-c]pyridine","r2_Thieno[2,3-c]pyridine","r3_Thieno[2,3-c]pyridine","r4_Thieno[2,3-c]pyridine"
-9.444585572410643,0.02,0.022,0.038,0.038,-17.521,0.005,0.0,0.0,0.041,-9.148,0.852,0.061,0.603,0.796,-13.685,0.208,0.365,0.803,0.0,-11.595190620159617,0.01,0.063,0.0,0.0,-11.206800165305838,0.002,0.019,0.028,0.183,-6.486,,0.969,0.487,0.273,-6.028,,0.584,0.696,0.373,-12.452,0.087,0.065,0.032,0.083,-11.916,0.031,0.003,0.0,0.023,-14.743,0.0,0.001,0.0,0.019,-6.831,0.083,0.911,0.659,0.201,-6.73,0.774,0.903,0.983,0.881,-5.508,0.33,0.902,0.981,0.996,-8.305,0.029,0.864,0.948,0.696,-7.405,0.985,0.957,0.909,0.904,-12.769,0.54,0.836,0.079,0.134,-8.632,0.648,0.92,0.844,0.895,-14.5,0.0,0.032,0.004,0.004,-12.38,0.65,0.49,0.95,0.458
-8.736097851489399,0.15,0.042,0.405,0.405,-17.166,,0.0,0.0,0.0,-8.932,,0.947,0.775,0.125,-13.469,,0.747,0.424,0.631,-10.886702899238372,0.006,0.032,0.117,0.007,-10.498312444384592,0.248,0.381,0.212,0.071,-6.27,0.423,0.763,0.671,0.315,-5.812,0.363,0.444,0.775,0.122,-12.02,,0.099,0.091,0.12,-11.562,,0.105,0.147,0.109,-14.714,0.005,,,,-6.399,0.484,0.907,0.223,0.937,-6.298,0.972,0.936,0.669,1.0,-5.076,1.0,0.989,0.998,0.992,-7.873,0.965,0.953,0.986,0.869,-6.974,0.819,0.995,0.988,0.947,-12.337,0.871,0.727,0.787,0.684,-8.2,0.866,0.894,0.919,0.914,-14.0,0.019,0.0,0.001,0.003,-11.95,0.918,0.685,0.924,0.754
-8.027610130568155,0.0,0.319,0.41,0.41,-16.812,0.0,0.003,0.0,0.009,-8.716,0.745,0.805,0.435,0.731,-13.253,0.472,0.396,0.005,0.085,-10.178215178317128,0.033,0.013,0.04,0.001,-9.789824723463347,0.0,0.845,0.287,0.459,-6.054,,0.816,0.611,0.453,-5.596,,0.801,0.349,0.269,-11.588,,0.384,0.0,0.361,-11.208,0.103,0.299,0.436,0.057,-14.407,0.001,,,,-5.968,0.914,1.0,0.949,0.774,-5.866,1.0,0.895,0.764,0.98,-4.644,1.0,0.989,0.958,0.985,-7.442,0.941,0.0,0.442,0.985,-6.542,1.0,0.989,0.994,0.859,-11.906,0.078,0.696,0.747,0.93,-7.768,1.0,0.959,0.988,0.919,-13.5,0.0,0.007,0.001,0.061,-11.52,0.984,0.777,0.945,0.103
-7.3191224096469085,0.316,0.268,0.837,0.837,-16.458,,0.003,0.003,0.001,-8.285,0.663,0.969,0.878,0.839,-12.821,0.506,0.905,0.368,0.567,-9.469727457395882,0.341,0.063,0.026,0.02,-9.081337002542105,0.408,0.583,0.822,0.369,-5.838,0.91,0.301,0.887,0.525,-5.38,0.973,,,,-11.301,0.232,,,,-10.8535,,0.085,0.124,0.039,-14.311,0.085,0.0,0.0,0.022,-5.536,0.001,0.942,0.36,0.998,-5.435,1.0,1.0,0.719,0.942,-4.213,0.983,0.906,0.115,0.949,-7.01,0.444,0.99,0.924,0.975,-6.11,0.982,0.919,0.949,0.934,-11.474,0.424,0.992,0.93,0.983,-7.337,0.976,1.029,0.989,1.0,-13.0,0.024,0.013,0.008,0.003,-11.09,0.99,0.988,0.995,0.935
-6.610634688725663,0.341,0.364,0.56,0.56,-16.104,0.0,0.047,0.0,0.047,-7.853,0.63,0.87,0.868,1.0,-12.389,0.785,0.647,0.602,0.689,-8.761239736474637,0.142,0.21,0.066,0.194,-8.372849281620859,0.558,0.683,0.479,0.643,-5.407,0.975,0.821,0.483,0.917,-5.164,,0.067,0.577,0.567,-11.157,,0.515,0.543,0.421,-10.499,0.04,0.062,0.037,0.187,-14.1,0.0,,,,-5.104,0.813,0.919,0.951,1.0,-5.003,0.92,0.182,0.964,0.877,-3.781,0.967,1.0,1.0,0.989,-6.578,0.998,0.0,0.995,0.911,-5.678,1.0,1.0,0.975,0.996,-11.042,0.105,0.904,0.468,0.546,-6.905,1.621,0.978,0.937,0.9,-12.5,0.086,0.117,0.001,0.008,-10.65,0.701,0.836,0.964,0.966
-5.902146967804419,0.939,0.609,0.609,0.609,-15.749,,0.0,0.0,0.039,-7.421,0.9,0.83,0.959,0.764,-11.958,0.95,0.475,0.596,0.785,-8.052752015553393,0.619,0.195,0.171,0.413,-7.664361560699614,0.017,0.913,0.271,0.75,-4.975,0.961,0.597,0.964,0.776,-4.948,0.671,0.159,0.673,0.613,-10.994,0.371,,,,-10.145,,0.297,0.134,0.466,-13.88,0.048,0.073,0.025,0.005,-4.672,0.925,0.914,0.985,1.0,-4.571,0.807,0.0,0.935,1.0,-3.349,1.0,1.0,1.0,0.995,-6.146,0.974,0.999,0.958,0.85,-5.247,0.978,0.908,1.0,0.995,-10.61,0.939,0.989,0.931,0.844,-6.473,0.992,0.97,0.959,0.974,-12.197,0.0,0.779,0.056,0.365,-10.22,0.992,0.925,0.936,1.0
-5.193659246883175,0.726,0.965,0.979,0.979,-15.395,0.008,0.027,0.013,0.033,-6.989,0.832,0.957,0.912,0.995,-11.526,0.951,0.519,0.946,0.983,-7.34426429463215,0.712,0.633,0.763,0.98,-6.95587383977837,0.841,0.67,0.891,0.837,-4.543,0.865,0.994,0.717,0.981,-4.732,,0.819,0.102,0.499,-10.725,,0.369,0.5,0.786,-9.791,0.433,0.227,0.573,0.09,-13.793,0.0,,,,-4.241,0.89,0.95,0.995,1.0,-4.139,0.819,0.998,0.954,0.981,-2.918,1.0,1.0,1.0,1.0,-5.715,1.0,0.994,0.434,0.973,-4.815,0.999,0.989,0.996,1.0,-10.179,0.955,1.0,0.699,0.976,-6.042,0.96,0.989,0.999,0.0,-9.894,0.143,0.809,0.0,0.042,-9.79,1.0,0.997,0.989,1.0
-2.8910741538891283,1.0,1.0,0.998,0.998,-15.041,,0.051,0.03,0.013,-6.558,0.997,0.979,0.992,0.851,-11.094,0.76,0.871,0.705,0.894,-5.041679201638104,0.955,0.869,0.739,0.958,-4.653288746784324,1.0,0.98,0.989,0.995,-4.111,0.979,0.968,0.918,0.754,-4.517,0.261,0.852,0.514,0.35,-10.687,0.401,,,,-9.4365,,0.293,0.313,0.353,-13.486,0.0,,,,-3.809,0.98,1.0,0.136,0.986,-3.708,1.0,0.0,1.0,0.989,-2.486,1.0,0.999,0.997,1.0,-5.283,0.966,0.988,1.0,1.0,-4.383,0.959,0.915,0.995,0.999,-9.747,0.985,0.448,0.902,0.001,-5.61,0.966,1.047,1.0,1.0,-9.462,0.604,0.954,0.206,0.96,-9.36,0.971,0.995,0.984,0.99
-0.5884890608950831,1.0,1.0,1.0,1.0,-14.687,0.028,0.028,0.087,0.0,-6.126,0.978,0.922,0.99,0.995,-10.662,0.949,0.997,1.0,0.701,-2.739094108644058,1.023,1.023,0.978,1.0,-2.350703653790279,1.0,1.0,1.0,0.991,-3.68,0.953,0.968,0.636,0.963,-4.301,,0.984,0.395,0.737,-10.38,0.869,,,,-9.082,0.735,0.089,0.884,0.929,-13.448,0.027,0.013,0.029,0.002,-2.658,1.0,0.999,1.0,0.485,-2.556,1.0,0.891,1.0,1.0,-1.335,1.0,1.0,1.0,1.0,-4.132,1.0,1.0,1.0,1.0,-3.232,1.0,1.0,1.0,0.999,-8.596,0.996,1.0,0.998,0.999,-4.459,0.988,1.002,1.574,0.999,-9.031,0.784,0.924,1.0,0.607,-8.93,0.991,0.999,0.983,1.0
1.7140960320989629,1.0,1.0,1.0,1.0,-13.978,0.525,0.194,0.092,0.064,-5.694,0.995,0.997,0.976,0.999,-10.231,0.915,0.954,0.773,0.946,-0.4365090156500121,1.0,1.0,1.0,1.0,-0.048118560796233,1.0,1.005,1.0,1.0,-3.248,0.914,0.991,0.945,0.943,-4.085,0.842,0.604,0.974,0.233,-10.293,,0.577,0.607,0.491,-8.846,,0.079,0.74,0.599,-13.179,0.077,,,,-1.506,0.958,0.978,1.0,0.975,-1.405,1.0,1.0,0.989,1.0,-0.183,0.993,0.999,1.0,0.997,-2.98,1.0,1.0,1.0,1.0,-2.081,1.0,1.0,1.0,1.0,-7.444,0.997,1.0,1.0,1.0,-3.307,0.999,1.0,1.772,1.0,-8.599,0.836,1.0,0.989,0.956,-8.5,1.0,0.989,0.986,0.998
