-14.493, 0.002, 0.027, 0.0, 0.0
-12.191, 0.0, 0.0, 0.005, 0.003
-11.759, 0.001, 0.726, 0.0, 0.027
-11.327, 0.0, 0.104, 0.039, 0.598
-10.896, 0.585, 0.849, 0.759, 0.004
-10.464, 0.344, 0.001, 0.77, 0.599
-10.032, 0.169, 0.0, 0.201, 0.058
-9.6, 0.898, 0.918, 0.748, 0.284
-9.169, 0.202, 0.667, 0.688, 0.058
-8.737, 0.953, 0.786, 0.395, 0.187
-8.305, 0.029, 0.864, 0.948, 0.696
-7.873, 0.965, 0.953, 0.986, 0.869
-7.442, 0.941, 0.0, 0.442, 0.985
-7.01, 0.444, 0.99, 0.924, 0.975
-6.578, 0.998, 0.0, 0.995, 0.911
-6.146, 0.974, 0.999, 0.958, 0.85
-5.715, 1.0, 0.994, 0.434, 0.973
-5.283, 0.966, 0.988, 1.0, 1.0
-4.132, 1.0, 1.0, 1.0, 1.0
-2.98, 1.0, 1.0, 1.0, 1.0
