HACs,Mean Acc Rate
6,2.501775
6,2.93335
7,2.466675
7,3.2666500000000003
8,1.633325
8,1.2166500000000002
8,2.366675
8,2.03335
8,1.06665
8,1.216675
8,2.583325
9,1.649975
9,1.7333500000000002
9,1.8666749999999999
9,1.966675
9,3.45
9,2.183325
10,0.4
10,1.5166750000000002
